using device: cuda
loaded 4900968 tokens
1 epoch = 38288 batches
step 0, loss: 1.6878576278686523
step 1, loss: 2.420042037963867
step 2, loss: 3.82248592376709
step 3, loss: 3.92339825630188
step 4, loss: 2.480605363845825
step 5, loss: 1.9264780282974243
step 6, loss: 1.3851656913757324
step 7, loss: 1.2232155799865723
step 8, loss: 1.5434834957122803
step 9, loss: 1.609022617340088
step 10, loss: 1.441559076309204
step 11, loss: 1.2692581415176392
step 12, loss: 1.175244688987732
step 13, loss: 1.1372026205062866
step 14, loss: 1.1641151905059814
step 15, loss: 1.21723473072052
step 16, loss: 1.2157753705978394
step 17, loss: 1.134989619255066
step 18, loss: 1.0266036987304688
step 19, loss: 0.9463150501251221
step 20, loss: 0.8875299692153931
step 21, loss: 0.8297237157821655
step 22, loss: 0.7863464951515198
step 23, loss: 0.7430726289749146
step 24, loss: 0.6488919854164124
step 25, loss: 0.5439783930778503
step 26, loss: 0.49741020798683167
step 27, loss: 0.458694189786911
step 28, loss: 0.3839029371738434
step 29, loss: 0.3164108693599701
step 30, loss: 0.26394712924957275
step 31, loss: 0.23315082490444183
step 32, loss: 0.19925279915332794
step 33, loss: 0.15827959775924683
step 34, loss: 0.13001187145709991
step 35, loss: 0.11618198454380035
step 36, loss: 0.07762230187654495
step 37, loss: 0.059648044407367706
step 38, loss: 0.04722199589014053
step 39, loss: 0.03932669758796692
step 40, loss: 0.03547327592968941
step 41, loss: 0.03480811417102814
step 42, loss: 0.031535789370536804
step 43, loss: 0.02998710423707962
step 44, loss: 0.031807251274585724
step 45, loss: 0.029446056112647057
step 46, loss: 0.02963845431804657
step 47, loss: 0.02888513170182705
step 48, loss: 0.029202090576291084
step 49, loss: 0.028344187885522842
